RefSeq Predicted Protein ID [e.g. XP_001720922]	Associated Gene Name
XP_006530319	Ccdc62
XP_006530320	Ccdc62
XP_006530323	Ccdc62
XP_006530321	Ccdc62
XP_006530322	Ccdc62
XP_006530324	Ccdc62
XP_006530318	Ccdc62
XP_006503518	4930538K18Rik
XP_011238930	4930538K18Rik
XP_011238931	4930538K18Rik
XP_006503519	4930538K18Rik
XP_006501228	Rpe65
XP_011238347	Rpe65
XP_011243091	Gm3043
XP_006510399	Npat
XP_006529359	Asb18
XP_006514781	Smtn
XP_006514782	Smtn
XP_006514784	Smtn
XP_006514787	Smtn
XP_006514783	Smtn
XP_006504673	Gigyf1
XP_006504674	Gigyf1
XP_011239251	Gigyf1
XP_011239252	Gigyf1
XP_006504670	Gigyf1
XP_011239253	Gigyf1
XP_006504671	Gigyf1
XP_011239254	Gigyf1
XP_006504672	Gigyf1
XP_011239255	Gigyf1
XP_011239256	Gigyf1
XP_006513716	Tspear
XP_006513715	Tspear
XP_006513719	Tspear
XP_006521548	Poldip3
XP_006505042	Cftr
XP_006505040	Cftr
XP_006505041	Cftr
XP_006503285	Cyp4a30b
XP_006503280	Cyp4a30b
XP_006521605	Asb8
XP_011244077	Asb8
XP_011246696	Vat1l
XP_011248279	Ywhaq
XP_006521389	Rabl2
XP_011244017	Rabl2
XP_006521390	Rabl2
XP_011244020	Rabl2
XP_011240916	Ppp2r1b
XP_006510705	Ppp2r1b
XP_006510704	Ppp2r1b
XP_011248663	Lin28a
XP_006532996	Tekt1
XP_006521147	Samd12
XP_006521148	Samd12
XP_006521143	Samd12
XP_006517223	Ptch1
XP_011242800	Ptch1
XP_006517222	Ptch1
XP_006517226	Ptch1
XP_006517225	Ptch1
XP_006513266	Epyc
XP_006533225	Unc119
XP_006544632	Sms
XP_001473484	Sms
XP_006528838	Sms
XP_006540327	Vmn2r35
XP_006512782	Lrp11
XP_006512783	Lrp11
XP_006512784	Lrp11
XP_006512785	Lrp11
XP_006506244	Dysf
XP_006506236	Dysf
XP_006506242	Dysf
XP_006506227	Dysf
XP_006506240	Dysf
XP_006506234	Dysf
XP_006506238	Dysf
XP_006506232	Dysf
XP_006506237	Dysf
XP_006506228	Dysf
XP_006506231	Dysf
XP_006506226	Dysf
XP_006506230	Dysf
XP_006506235	Dysf
XP_006506239	Dysf
XP_006506241	Dysf
XP_006506243	Dysf
XP_006506229	Dysf
XP_006506233	Dysf
XP_011249356	Gm30737
XP_011249817	Gm30737
XP_006498585	R3hdml
XP_006535780	Lhfpl3
XP_006517249	Papd7
XP_006517250	Papd7
XP_006517248	Papd7
XP_011238927	Tex38
XP_011240014	Sox6
XP_006507558	Sox6
XP_006507564	Sox6
XP_006507563	Sox6
XP_006507567	Sox6
XP_011240008	Sox6
XP_011240010	Sox6
XP_006507562	Sox6
XP_011240007	Sox6
XP_006507559	Sox6
XP_006507561	Sox6
XP_011240006	Sox6
XP_006507556	Sox6
XP_006507560	Sox6
XP_006507557	Sox6
XP_011240011	Sox6
XP_011240017	Sox6
XP_011240009	Sox6
XP_011240012	Sox6
XP_011240013	Sox6
XP_011240016	Sox6
XP_011240015	Sox6
XP_006507570	Sox6
XP_006513979	Pcbp3
XP_006513980	Pcbp3
XP_006513981	Pcbp3
XP_011241818	Pcbp3
XP_006513982	Pcbp3
XP_006513984	Pcbp3
XP_011241819	Pcbp3
XP_006513988	Pcbp3
XP_006513983	Pcbp3
XP_006513985	Pcbp3
XP_006513989	Pcbp3
XP_006513986	Pcbp3
XP_011241820	Pcbp3
XP_006544908	Scgb2b18
XP_006540561	Scgb2b18
XP_001481184	Scgb2b18
XP_006516871	Arid4b
XP_006516869	Arid4b
XP_006516870	Arid4b
XP_006524951	Ppp4r1
XP_006524952	Ppp4r1
XP_006524953	Ppp4r1
XP_011244900	Ppp4r1
XP_006524954	Ppp4r1
XP_006524955	Ppp4r1
XP_011244901	Ppp4r1
XP_011240168	Stx1b
XP_006508107	Stx1b
XP_006539563	Cebpg
XP_011247304	Hexdc
XP_011247303	Hexdc
XP_006533327	Hexdc
XP_006533328	Hexdc
XP_006533329	Hexdc
XP_006533330	Hexdc
XP_006533331	Hexdc
XP_006533332	Hexdc
XP_006538425	Usp45
XP_011248434	Usp45
XP_006538424	Usp45
XP_006533140	Hid1
XP_006527901	Heph
XP_006527900	Heph
XP_011246244	Serpinb2
XP_006523727	Pigq
XP_006519411	Ang6
XP_006507420	Fgfr2
XP_006507422	Fgfr2
XP_011239976	Fgfr2
XP_011239977	Fgfr2
XP_011239979	Fgfr2
XP_006507413	Fgfr2
XP_006507412	Fgfr2
XP_011239975	Fgfr2
XP_006507415	Fgfr2
XP_006507417	Fgfr2
XP_011239978	Fgfr2
XP_006505600	Slc6a13
XP_006505601	Slc6a13
XP_011239512	Slc6a13
XP_011249129	Rlbp1
XP_011249128	Rlbp1
XP_006540781	Rlbp1
XP_006540780	Rlbp1
XP_011248342	Gm428
XP_011249378	Gm20814
XP_006523275	Synj2
XP_006523268	Synj2
XP_006523271	Synj2
XP_006523265	Synj2
XP_006523269	Synj2
XP_006523272	Synj2
XP_006523274	Synj2
XP_006523266	Synj2
XP_006523267	Synj2
XP_011249316	Rhox8
XP_011249816	Rhox8
XP_006522154	C330027C09Rik
XP_006502032	Mcoln2
XP_006534524	Cyfip2
XP_006534525	Cyfip2
XP_006534526	Cyfip2
XP_006525793	Sema6a
XP_006525792	Sema6a
XP_006525791	Sema6a
XP_006525790	Sema6a
XP_006525789	Sema6a
XP_006527537	Tdrd1
XP_006527536	Tdrd1
XP_006527541	Tdrd1
XP_006527538	Tdrd1
XP_006527539	Tdrd1
XP_006527540	Tdrd1
XP_006527542	Tdrd1
XP_006533481	Slc26a11
XP_006533482	Slc26a11
XP_006533483	Slc26a11
XP_006533484	Slc26a11
XP_903490	Smok3c
XP_006499948	Tubgcp4
XP_006499949	Tubgcp4
XP_006503720	Zfp513
XP_006506854	Abtb1
XP_006506855	Abtb1
XP_006506856	Abtb1
XP_006506857	Abtb1
XP_006540820	Zfp658
XP_006498383	Tbc1d13
XP_006498384	Tbc1d13
XP_006498385	Tbc1d13
XP_006509293	Plekha2
XP_006509290	Plekha2
XP_006509291	Plekha2
XP_006531835	Atg2a
XP_006499383	Xkr7
XP_006513505	Stk11
XP_006496134	Ankrd44
XP_006496137	Ankrd44
XP_006496133	Ankrd44
XP_011236840	Ankrd44
XP_006496136	Ankrd44
XP_011246934	Tcirg1
XP_006518533	Bmpr1a
XP_006518532	Bmpr1a
XP_011240202	D7Ertd443e
XP_011240203	D7Ertd443e
XP_011240205	D7Ertd443e
XP_011240207	D7Ertd443e
XP_011240206	D7Ertd443e
XP_011240204	D7Ertd443e
XP_011240209	D7Ertd443e
XP_006499601	Kcng1
XP_006499602	Kcng1
XP_006534375	2610507B11Rik
XP_006526768	Ifit2
XP_006526769	Ifit2
XP_011237474	Dab2ip
XP_011237475	Dab2ip
XP_011237476	Dab2ip
XP_011237477	Dab2ip
XP_006498370	Dab2ip
XP_006498367	Dab2ip
XP_006498368	Dab2ip
XP_006498374	Dab2ip
XP_006500279	Wdsub1
XP_006500280	Wdsub1
XP_011238086	Wdsub1
XP_006500281	Wdsub1
XP_006500283	Wdsub1
XP_006500282	Wdsub1
XP_006500284	Wdsub1
XP_006500285	Wdsub1
XP_006500288	Wdsub1
XP_006500286	Wdsub1
XP_011238087	Wdsub1
XP_006519486	Pbrm1
XP_006519487	Pbrm1
XP_006519490	Pbrm1
XP_006519488	Pbrm1
XP_006519489	Pbrm1
XP_006519481	Pbrm1
XP_006519484	Pbrm1
XP_006519473	Pbrm1
XP_006519474	Pbrm1
XP_006519479	Pbrm1
XP_006519480	Pbrm1
XP_006519465	Pbrm1
XP_006519466	Pbrm1
XP_006519468	Pbrm1
XP_006519469	Pbrm1
XP_006519470	Pbrm1
XP_006519471	Pbrm1
XP_006519472	Pbrm1
XP_006519475	Pbrm1
XP_006519476	Pbrm1
XP_006519477	Pbrm1
XP_006519478	Pbrm1
XP_006519482	Pbrm1
XP_006519483	Pbrm1
XP_006519485	Pbrm1
XP_006511556	Man2c1
XP_006511557	Man2c1
XP_011241126	Man2c1
XP_006511558	Man2c1
XP_006511562	Man2c1
XP_006511561	Man2c1
XP_006519598	Fam213a
XP_006519599	Fam213a
XP_006519592	Fam213a
XP_006519597	Fam213a
XP_006519593	Fam213a
XP_006519594	Fam213a
XP_006519595	Fam213a
XP_006519596	Fam213a
XP_006515054	Itgb1bp1
XP_011242118	Itgb1bp1
XP_006538768	Arhgef19
XP_011248528	Arhgef19
XP_011248527	Arhgef19
XP_006538767	Arhgef19
XP_006538772	Arhgef19
XP_006538770	Arhgef19
XP_006538771	Arhgef19
XP_006538769	Arhgef19
XP_006534416	Cluh
XP_006534417	Cluh
XP_011237691	Scn1a
XP_006499090	Scn1a
XP_006499091	Scn1a
XP_011238468	Cd160
XP_006501766	Cd160
